mechanism,tau,eta,d,date,alpha,shift,n_exact_donors,miss_rate
A,0.5,0.05,82,2024-06-18,0.513391203038301,0.009234889320199646,2677,0.5300709749719835
A,0.5,0.05,83,2024-06-19,0.5118876542897018,0.010597978640989578,2723,0.5839147998531032
A,0.5,0.05,84,2024-06-20,0.5076919142970466,0.013861474869519982,2986,0.5669792364367047
A,0.5,0.05,85,2024-06-21,0.5043429524752114,0.016490190731121793,3140,0.5882165605095542
A,0.5,0.05,86,2024-06-22,0.49993212444973373,0.019439147248223845,2974,0.5349697377269671
A,0.5,0.05,87,2024-06-23,0.49818363756338535,0.020721662342663164,2527,0.5156311832212109
A,0.5,0.05,88,2024-06-24,0.4974020784023248,0.02141337067618408,2789,0.4471136608103263
A,0.5,0.05,89,2024-06-25,0.5000463953618085,0.01936165025779636,2705,0.5855822550831793
A,0.75,0.05,75,2024-06-11,0.25,0.07321783367068568,3099,0.24749919328815748
A,0.75,0.05,76,2024-06-12,0.25012504033559213,0.07306246841387003,3182,0.21275927089880578
A,0.75,0.05,77,2024-06-13,0.25198707679065185,0.07137879198855471,3178,0.17558212712397733
A,0.75,0.05,78,2024-06-14,0.255707970434453,0.06706444224600487,3164,0.1959544879898862
A,0.75,0.05,79,2024-06-15,0.25841024603495866,0.06368268565973048,2665,0.24915572232645403
A,0.75,0.05,80,2024-06-16,0.25845245991863597,0.06366011567697205,2378,0.2043734230445753
A,0.75,0.05,81,2024-06-17,0.2607337887664072,0.061677856155436285,2586,0.2188708430007734
A,0.75,0.05,82,2024-06-18,0.2622902466163685,0.05983290242988932,2677,0.269704893537542
A,0.75,0.05,83,2024-06-19,0.2613050019394914,0.060966162359431475,2723,0.3202350348879912
A,0.75,0.05,84,2024-06-20,0.25779325019509186,0.06434359401292486,2986,0.3114534494306765
A,0.75,0.05,85,2024-06-21,0.25472057772355805,0.06844710282907364,3140,0.3251592356687898
A,0.75,0.05,86,2024-06-22,0.25096261594011854,0.07216976393019789,2974,0.28312037659717554
A,0.75,0.05,87,2024-06-23,0.24930659711025976,0.07385178233998077,2527,0.27146814404432135
A,0.75,0.05,88,2024-06-24,0.2482331899080437,0.07559308002922611,2789,0.21405521692362853
A,0.75,0.05,89,2024-06-25,0.25003042906186224,0.07319060681048077,2705,0.31719038817005546
A,0.9,0.05,75,2024-06-11,0.09999999999999998,0.11732143600816315,3099,0.09874152952565343
A,0.9,0.05,76,2024-06-12,0.1000629235237173,0.11718004542881635,3182,0.07039597737272156
A,0.9,0.05,77,2024-06-13,0.10154312465508122,0.11336986603239955,3178,0.05223410950283197
A,0.9,0.05,78,2024-06-14,0.10393141917993963,0.10883511520301664,3164,0.0736409608091024
A,0.9,0.05,79,2024-06-15,0.10524937113948452,0.10533463620545414,2665,0.10544090056285178
A,0.9,0.05,80,2024-06-16,0.10497732611134193,0.10595889783688066,2378,0.08578637510513036
A,0.9,0.05,81,2024-06-17,0.10568800735608541,0.10447761948228379,2586,0.07965970610982212
A,0.9,0.05,82,2024-06-18,0.1067050220505943,0.10161352018836727,2677,0.1135599551737019
A,0.9,0.05,83,2024-06-19,0.1060270242919092,0.10370336467943041,2723,0.1266984943077488
A,0.9,0.05,84,2024-06-20,0.10469209957652176,0.10663748236770118,2986,0.12357669122572003
A,0.9,0.05,85,2024-06-21,0.10351326501523575,0.10974975596175998,3140,0.14713375796178343
A,0.9,0.05,86,2024-06-22,0.10115657711714658,0.11447964902836975,2974,0.1254203093476799
A,0.9,0.05,87,2024-06-23,0.09988556164976259,0.11782369282233494,2527,0.11199050257222003
A,0.9,0.05,88,2024-06-24,0.09928603652115159,0.11939646870868648,2789,0.07852276801721048
A,0.9,0.05,89,2024-06-25,0.10035989812029106,0.11651503670797334,2705,0.15378927911275417
B,0.25,0.05,75,2024-06-11,0.75,-0.007071057628059707,3099,0.7305582445950306
B,0.25,0.05,76,2024-06-12,0.7509720877702485,-0.007795118622321881,3182,0.7265870521684475
B,0.25,0.05,77,2024-06-13,0.7521427351618261,-0.008630756981246076,3178,0.6733794839521712
B,0.25,0.05,78,2024-06-14,0.7559737609642175,-0.01149031364246929,3164,0.7259797724399494
B,0.25,0.05,79,2024-06-15,0.7571747723422201,-0.012444506056119818,2665,0.7654784240150094
B,0.25,0.05,80,2024-06-16,0.7564008511414696,-0.011882998277176747,2378,0.7249789739276703
B,0.25,0.05,81,2024-06-17,0.7576519024450861,-0.012833796418167863,2586,0.7188708430007734
B,0.25,0.05,82,2024-06-18,0.7592083602950473,-0.014341338432419887,2677,0.769144564811356
B,0.25,0.05,83,2024-06-19,0.7582511320544796,-0.013419875828208798,2723,0.8027910392948954
B,0.25,0.05,84,2024-06-20,0.7556115800897348,-0.011244417846515893,2986,0.7910247823174816
B,0.25,0.05,85,2024-06-21,0.7535603409738607,-0.009519368889390886,3140,0.8143312101910828
B,0.25,0.05,86,2024-06-22,0.7503437804643066,-0.007285625278066548,2974,0.784801613987895
B,0.25,0.05,87,2024-06-23,0.7486036997649118,-0.0059366183526430305,2527,0.7795805302730511
B,0.25,0.05,88,2024-06-24,0.7471246732512593,-0.00448875393245986,2789,0.6995338831122266
