scenario,beta,policy,train_mech,test_hist,population,unsupported order share,pool fallback share,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,A,B,full sample,0.0,0.062012499394409185,20641,0.5517135952519157,0.34610697627067566,8905.112158662057,827.6027203109115,0.6288134809190064,0.052006568047693214,0.22925245869870645,0.770962013770108,0.44008657336235046
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,A,C,full sample,0.0,0.062012499394409185,20641,0.5801014864209475,0.36556725203990936,10403.923711553361,523.317023220472,0.5663394061219869,0.03708751214377433,0.17034058427401774,0.6836068832056129,0.3798955976963043
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,B,A,full sample,0.0,0.062012499394409185,20641,0.5492107443477297,0.34306304156780243,8045.530330859008,1096.9095477408264,0.6646429214518957,0.06436387957361964,0.275907175039969,0.8256535817771311,0.48468217253685
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,B,B,full sample,0.0,0.062012499394409185,20641,0.5528038862543037,0.34551166743040085,8574.092535924807,945.4441600834252,0.6426111759196053,0.057781904384896075,0.2505692553655346,0.7927081046818741,0.45880812406539917
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,B,C,full sample,0.0,0.062012499394409185,20641,0.5796402405723223,0.35996948182582855,10181.940387136769,594.1379395055119,0.5755922056394049,0.041250601635132216,0.1900101739256819,0.6977924478924804,0.39567831158638
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,C,A,full sample,0.0,0.062012499394409185,20641,0.587389364191906,0.3551846221089363,8013.640440275194,1370.2211420033127,0.6659721688851429,0.07898658561717306,0.32464512378276245,0.840439759038228,0.531278133392334
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,C,B,full sample,0.0,0.062012499394409185,20641,0.5848999437200916,0.3536379039287567,8507.719080120281,1188.4002194020431,0.6453777813907664,0.07128283858040588,0.2971270771764934,0.8076942737203482,0.5035634636878967
excess stock more costly,0.25,raw-sales LightGBM + residual quantile,C,C,full sample,0.0,0.062012499394409185,20641,0.5970781843290557,0.35611119121313095,9922.343824606593,800.6489927098155,0.5864128154974446,0.053845987433182654,0.23472699966086916,0.7203740871412804,0.4363737106323242
excess stock more costly,0.25,raw-sales quantile LightGBM,A,A,full sample,0.0,0.0,20641,0.5748762476287443,0.3550138995051384,9869.423599392641,665.5323426374234,0.5886186579210059,0.04500779823044224,0.2212586599486459,0.7163918951516267,0.4353615641593933
excess stock more costly,0.25,raw-sales quantile LightGBM,A,B,full sample,0.0,0.0,20641,0.5900375737399937,0.3601263761520386,10379.318313754164,599.8824152710149,0.5673650183542599,0.04221105411790295,0.20696671672884065,0.6885083312870887,0.41614341735839844
excess stock more costly,0.25,raw-sales quantile LightGBM,A,C,full sample,0.0,0.0,20641,0.64968477680261,0.3852490112185478,12128.05704840186,427.3621431936044,0.4944733767745872,0.03477247738430131,0.16927474444067633,0.5954285867628356,0.37045806646347046
excess stock more costly,0.25,raw-sales quantile LightGBM,B,A,full sample,0.0,0.0,20641,0.5967419012219514,0.3654869645833969,10560.476511658519,585.6243571545929,0.5598139084204344,0.041782308694577726,0.20202509568334867,0.6790409481166619,0.4142414629459381
excess stock more costly,0.25,raw-sales quantile LightGBM,B,B,full sample,0.0,0.0,20641,0.6132821617990748,0.3754212185740471,11071.941835188889,528.938422168605,0.5384948020813632,0.03933232148567932,0.1887020977665811,0.6515155734489444,0.39114370942115784
excess stock more costly,0.25,raw-sales quantile LightGBM,B,C,full sample,0.0,0.0,20641,0.6737920511879787,0.398079302161932,12810.110380853817,365.87711590575054,0.46604375143245447,0.0316867172169184,0.1497020493193159,0.5594061866979254,0.3452726900577545
excess stock more costly,0.25,raw-sales quantile LightGBM,C,A,full sample,0.0,0.0,20641,0.6922441750083275,0.4095236361026764,13300.063239550334,329.5162589321844,0.445621336431601,0.02990060037367975,0.1286274889782472,0.5339077265617846,0.3299235999584198
excess stock more costly,0.25,raw-sales quantile LightGBM,C,B,full sample,0.0,0.0,20641,0.7060469393094899,0.4170290008187294,13684.843941359548,296.2236443092115,0.42958275019378744,0.02793952212162574,0.11903493047817451,0.5136532177476677,0.31568920612335205
excess stock more costly,0.25,raw-sales quantile LightGBM,C,C,full sample,0.0,0.0,20641,0.7532347923325347,0.43544161319732666,14852.879712257462,231.54654542612843,0.3808962065279723,0.024712524163431584,0.10169080955380069,0.45393165048925016,0.2861216068267822
excess stock more costly,0.25,seasonal_naive + residual quantile,A,A,full sample,0.0,0.062012499394409185,20641,0.6759336178084545,0.4000000134110451,8307.422859970247,1881.5076484046876,0.6537266101778642,0.10711673114505738,0.30017925488106195,0.8509772371985072,0.5
excess stock more costly,0.25,seasonal_naive + residual quantile,A,B,full sample,0.0,0.062012499394409185,20641,0.6889529932618561,0.42000001296401024,9355.546079780062,1621.7108847126365,0.6100383104015679,0.09975400090108835,0.263553122426239,0.7876120909603469,0.4000000059604645
excess stock more costly,0.25,seasonal_naive + residual quantile,A,C,full sample,0.0,0.062012499394409185,20641,0.770526556198781,0.5000000074505806,12431.529380375723,1157.636422041105,0.4818239191893507,0.09103031145372917,0.18797538878930284,0.6161059738503623,0.30000001192092896
excess stock more costly,0.25,seasonal_naive + residual quantile,B,A,full sample,0.0,0.062012499394409185,20641,0.6850713138929984,0.4000000059604645,7889.611666568322,2083.6484411656857,0.6711419868456452,0.1145807819026534,0.3231432585630541,0.8810122154535783,0.5
excess stock more costly,0.25,seasonal_naive + residual quantile,B,B,full sample,0.0,0.062012499394409185,20641,0.6908673120519686,0.4182080999016762,8901.89290461794,1786.0997611489147,0.6289476671798174,0.10584205050861385,0.2838525265248777,0.8175545381091478,0.43962764739990234
excess stock more costly,0.25,seasonal_naive + residual quantile,B,C,full sample,0.0,0.062012499394409185,20641,0.7637390061670402,0.49911264330148697,11942.958440923278,1273.7927951235324,0.5021887324683258,0.09561737865130938,0.20309093551669008,0.6454033583053244,0.30054616928100586
