subgroup type,subgroup,mechanism,n,coverage q90 (conformal),WAPE median,mean cost (equal costs)
first_category_id,first_category_id=16,B,2957,0.8833276969901928,34.031771874093074,0.22178656840051272
first_category_id,first_category_id=16,C,2957,0.8880622252282719,35.15740677249493,0.22912238069737847
first_category_id,first_category_id=18,A,975,0.9015384615384615,35.474441191984056,0.23656540794632375
first_category_id,first_category_id=18,B,975,0.9138461538461539,35.67382678903024,0.23789503440260887
first_category_id,first_category_id=18,C,975,0.8984615384615384,37.16404983751803,0.24783275743707633
first_category_id,first_category_id=20,A,2550,0.8764705882352941,26.082939616656056,0.505786870393683
first_category_id,first_category_id=20,B,2550,0.8741176470588236,26.816765100325686,0.5200168353056206
first_category_id,first_category_id=20,C,2550,0.8713725490196078,29.229736880347502,0.5668079357024501
first_category_id,first_category_id=21,A,1222,0.8445171849427169,43.13894206937532,1.144343053790971
first_category_id,first_category_id=21,B,1222,0.837152209492635,44.72225497104603,1.1863434613665562
first_category_id,first_category_id=21,C,1222,0.8330605564648118,40.95656922007485,1.0864514359158697
first_category_id,first_category_id=22,A,215,0.9162790697674419,22.68975631137263,0.36820725767418394
first_category_id,first_category_id=22,B,215,0.8790697674418605,24.31208194067911,0.3945342113458833
first_category_id,first_category_id=22,C,215,0.8651162790697674,27.18039795046761,0.4410809741810311
first_category_id,first_category_id=24,A,653,0.8989280245022971,30.830387662415937,0.24723799406888838
first_category_id,first_category_id=24,B,653,0.888208269525268,31.037228740857607,0.24889671647347864
first_category_id,first_category_id=24,C,653,0.888208269525268,32.245450581411106,0.2585858041006975
first_category_id,first_category_id=25,A,206,0.8300970873786407,34.45735119006391,0.2887726791962547
first_category_id,first_category_id=25,B,206,0.8203883495145631,34.18554142772011,0.2864947553941058
first_category_id,first_category_id=25,C,206,0.8349514563106796,35.45796101001301,0.29715837398996053
first_category_id,first_category_id=28,A,1346,0.9078751857355126,37.75547025610327,0.4490825327315311
first_category_id,first_category_id=28,B,1346,0.9071322436849926,38.59212974727228,0.4590341811681396
first_category_id,first_category_id=28,C,1346,0.8959881129271917,40.4907685226543,0.4816175447763075
first_category_id,first_category_id=29,A,975,0.8728205128205129,35.53059745793232,0.4793897600581822
first_category_id,first_category_id=29,B,975,0.8666666666666667,38.23293416173492,0.5158505198600678
first_category_id,first_category_id=29,C,975,0.8574358974358974,43.4711136068275,0.5865256522041865
first_category_id,first_category_id=30,A,264,0.8901515151515151,40.196449026969944,0.22991151176393032
first_category_id,first_category_id=30,B,264,0.8939393939393939,40.72436901827488,0.23293105507213058
first_category_id,first_category_id=30,C,264,0.8977272727272727,42.588981607185985,0.24359607261916003
first_category_id,first_category_id=31,A,723,0.8879668049792531,33.856774019343284,0.21119509505450643
first_category_id,first_category_id=31,B,723,0.8907330567081605,33.98637617106558,0.21200354067534002
first_category_id,first_category_id=31,C,723,0.8824343015214384,34.71728723660867,0.21656288853737
first_category_id,first_category_id=4,A,3828,0.88662486938349,27.852279306533354,0.3853036948219876
first_category_id,first_category_id=4,B,3828,0.8829676071055381,28.03785152537313,0.38787086845678254
first_category_id,first_category_id=4,C,3828,0.8733019853709509,29.40648998496683,0.40680437898915356
first_category_id,first_category_id=5,A,895,0.9027932960893855,58.01425762331089,0.5706587112659599
first_category_id,first_category_id=5,B,895,0.9016759776536313,57.51632164834171,0.5657607497912753
first_category_id,first_category_id=5,C,895,0.8905027932960894,59.027422818428285,0.5806247352211419
first_category_id,first_category_id=7,A,370,0.8837837837837837,40.001375327486436,0.21406141705811024
first_category_id,first_category_id=7,B,370,0.8810810810810811,40.975816280046196,0.21927599400483272
first_category_id,first_category_id=7,C,370,0.8756756756756757,41.85529838680674,0.22398241098869492
first_category_id,first_category_id=8,A,1219,0.8990976210008204,32.182674837929554,0.2197741441233076
first_category_id,first_category_id=8,B,1219,0.896636587366694,32.07286047065456,0.2190242261702991
first_category_id,first_category_id=8,C,1219,0.8999179655455292,32.78427321370904,0.22388243400495594
first_category_id,first_category_id=low support (<200 rows),A,592,0.8956843930975377,45.505402199933286,0.2416567848365407
first_category_id,first_category_id=low support (<200 rows),B,592,0.9055395605963383,45.212112097928205,0.24016578244788264
first_category_id,first_category_id=low support (<200 rows),C,592,0.8914615675196109,46.133561623679576,0.2453163631736606
promotion scenario,promotion scenario=no promotion,A,14394,0.8960678060302903,34.65960913807734,0.4038684162888334
promotion scenario,promotion scenario=no promotion,B,14394,0.8959288592469085,35.0866097871373,0.40884400857360154
promotion scenario,promotion scenario=no promotion,C,14394,0.8903709879116298,36.08540292871384,0.42048236816615275
promotion scenario,promotion scenario=promotion day,A,6247,0.8653753801824876,30.730334340087705,0.3550905195749582
promotion scenario,promotion scenario=promotion day,B,6247,0.8549703857851769,31.905570324468844,0.3686704290101604
promotion scenario,promotion scenario=promotion day,C,6247,0.8538498479270049,33.2188808510877,0.38384579616277215
sales_tier,sales_tier=high,A,6478,0.8720284038283421,30.61526021120941,0.6877888431125638
sales_tier,sales_tier=high,B,6478,0.8664711330657611,31.509107455260228,0.707869619492806
sales_tier,sales_tier=high,C,6478,0.862766285890707,32.38538910271933,0.7275557730357844
sales_tier,sales_tier=low,A,7128,0.8923961840628507,40.73124307176817,0.23099546641793142
sales_tier,sales_tier=low,B,7128,0.8956228956228957,41.01805000065828,0.2326220088977028
sales_tier,sales_tier=low,C,7128,0.8901515151515151,42.325932445282334,0.240039285869462
sales_tier,sales_tier=mid,A,7035,0.8946695095948828,35.76255332468248,0.2742715919738491
sales_tier,sales_tier=mid,B,7035,0.8869936034115139,36.03640427702071,0.27637182017593026
sales_tier,sales_tier=mid,C,7035,0.8835820895522388,37.55486775864929,0.2880172805414504
stockout_tier,stockout_tier=high,A,6799,0.8736578908663039,35.135727214976576,0.5501079803604865
stockout_tier,stockout_tier=high,B,6799,0.8668921900279453,36.073897841970684,0.5647965945132011
stockout_tier,stockout_tier=high,C,6799,0.8543903515222827,36.97415933101715,0.5788916783084881
stockout_tier,stockout_tier=low,A,6529,0.8901822637463623,31.98157687505331,0.3032375211839011
stockout_tier,stockout_tier=low,B,6529,0.8912544034308469,32.350247322414745,0.3067331193689685
stockout_tier,stockout_tier=low,C,6529,0.8927860315515392,33.47541593850288,0.31740155339704335
stockout_tier,stockout_tier=mid,A,7313,0.8959387392315056,32.30433449306806,0.3160823910249685
stockout_tier,stockout_tier=mid,B,7313,0.8921099412006017,32.77616880084639,0.3206990628988982
stockout_tier,stockout_tier=mid,C,7313,0.8904690277587857,34.12949820053451,0.33394074019742015
