scenario,beta,policy,train_mech,test_hist,matched mean cost,unseen mean cost,cost transfer gap,fill-rate change,leftover-share change
excess stock more costly,0.25,seasonal_naive + residual quantile,B,C,0.6908673120519686,0.7637390061670402,0.07287169411507155,-0.12675893471149158,-0.010224671857304468
excess stock more costly,0.25,seasonal_naive + residual quantile,C,A,0.7541815250798727,0.745478749395678,-0.008702775684194641,0.15481848461762848,0.02957363548242234
excess stock more costly,0.25,seasonal_naive + residual quantile,C,B,0.7541815250798727,0.73075675151667,-0.023424773563202717,0.11698776527621535,0.018559605047872074
equal costs,0.5,Kaplan-Meier order percentile,A,B,0.6519663876804116,0.6519663876804116,0.0,0.0,0.0
equal costs,0.5,Kaplan-Meier order percentile,A,C,0.6519663876804116,0.6519663876804116,0.0,0.0,0.0
equal costs,0.5,Kaplan-Meier order percentile,B,A,0.6609984082779629,0.6609984082779629,0.0,0.0,0.0
equal costs,0.5,Kaplan-Meier order percentile,B,C,0.6609984082779629,0.6609984082779629,0.0,0.0,0.0
equal costs,0.5,Kaplan-Meier order percentile,C,A,0.8271328591914154,0.8271328591914154,0.0,0.0,0.0
equal costs,0.5,Kaplan-Meier order percentile,C,B,0.8271328591914154,0.8271328591914154,0.0,0.0,0.0
equal costs,0.5,TFT (direct) + residual quantile,A,B,0.4948543506596549,0.4948543816790044,3.1019349533423224e-08,-7.447178940189758e-08,-2.8726194645223302e-08
equal costs,0.5,TFT (direct) + residual quantile,A,C,0.4948543506596549,0.4948544612636723,1.1060401738927084e-07,-3.6955816240524797e-07,-1.8144444524637038e-07
equal costs,0.5,TFT (direct) + residual quantile,B,A,0.5096606400220162,0.5096606377601267,-2.261889453514243e-09,2.0464105965345425e-09,-4.956694221736058e-10
equal costs,0.5,TFT (direct) + residual quantile,B,C,0.5096606400220162,0.5096606456559611,5.6339449772124794e-09,-5.524759982833416e-09,9.194533467926647e-10
equal costs,0.5,TFT (direct) + residual quantile,C,A,0.49518458019214795,0.4951845489034199,-3.128872805291394e-08,1.7447913458479292e-07,1.0621453763737243e-07
equal costs,0.5,TFT (direct) + residual quantile,C,B,0.49518458019214795,0.49518458349667344,3.304525486580445e-09,1.2227097578865198e-07,9.733189207383752e-08
equal costs,0.5,TimesNet->TFT + residual quantile,A,B,0.4686922379023585,0.46869221572426567,-2.2178092806690586e-08,4.726083779882373e-08,1.7034246901914685e-08
equal costs,0.5,TimesNet->TFT + residual quantile,A,C,0.4686922379023585,0.46869229193353856,5.403118008562302e-08,9.12343198766763e-08,1.207740714104233e-07
equal costs,0.5,TimesNet->TFT + residual quantile,B,A,0.4687120387219338,0.468712592257773,5.535358392205758e-07,-7.890908511054562e-07,-1.1619058712386554e-07
equal costs,0.5,TimesNet->TFT + residual quantile,B,C,0.4687120387219338,0.4687114961200442,-5.426018895859919e-07,2.060374057144543e-06,1.1185343435360373e-06
equal costs,0.5,TimesNet->TFT + residual quantile,C,A,0.4696224614599371,0.4696225039467987,4.2486861639989826e-08,-1.7050975642529664e-07,-9.572294287774064e-08
equal costs,0.5,TimesNet->TFT + residual quantile,C,B,0.4696224614599371,0.46962249133572637,2.9875789286926135e-08,-1.27961698015433e-07,-7.366365237237993e-08
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),A,B,0.39320526222805463,0.39988589495565563,0.006680632727600999,-0.014241215257049467,-0.006480123924610767
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),A,C,0.39320526222805463,0.4246325704849039,0.03142730825684925,-0.05504951804633362,-0.021695896989225708
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),B,A,0.4027628918772114,0.3988218325315725,-0.003941059345638931,0.012670961107733025,0.007150117053196958
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),B,C,0.4027628918772114,0.4224148953814386,0.01965200350422719,-0.03709040973008493,-0.015554162707940161
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),C,A,0.41570445818202184,0.4116214040835928,-0.0040830540984290176,0.05812357865541107,0.041534973378754475
equal costs,0.5,demand-quantile + adaptive calibration (sensitivity),C,B,0.41570445818202184,0.4099302284178054,-0.005774229764216432,0.04358753098704893,0.029991951050355348
equal costs,0.5,demand-quantile LightGBM (uncalibrated),A,B,0.39463171071906833,0.4023824405719401,0.007750729852871785,-0.014701553282779889,-0.006290076364475566
equal costs,0.5,demand-quantile LightGBM (uncalibrated),A,C,0.39463171071906833,0.42934897626843527,0.03471726554936694,-0.05646480256352315,-0.021238795909352196
equal costs,0.5,demand-quantile LightGBM (uncalibrated),B,A,0.404046292250078,0.3991555239659455,-0.004890768284132485,0.013079510001242522,0.007015813661236117
equal costs,0.5,demand-quantile LightGBM (uncalibrated),B,C,0.404046292250078,0.4255932439577156,0.021546951707637596,-0.03790558512173203,-0.015410319193542327
equal costs,0.5,demand-quantile LightGBM (uncalibrated),C,A,0.41961783917005385,0.4081779387319084,-0.011439900438145467,0.06128837096547746,0.040684003250358106
equal costs,0.5,demand-quantile LightGBM (uncalibrated),C,B,0.41961783917005385,0.408575133647007,-0.01104270552304687,0.04585394130760789,0.029386895177561725
equal costs,0.5,demand-quantile LightGBM + pooled conformal,A,B,0.3891057826581189,0.3951026486725317,0.005996866014412794,-0.013880825861890878,-0.006847662617826128
equal costs,0.5,demand-quantile LightGBM + pooled conformal,A,C,0.3891057826581189,0.41947739973475084,0.03037161707663194,-0.05429967024315785,-0.022299508335583848
equal costs,0.5,demand-quantile LightGBM + pooled conformal,B,A,0.39668547209122096,0.393947364159588,-0.0027381079316329826,0.012119954563793,0.007793405307041562
equal costs,0.5,demand-quantile LightGBM + pooled conformal,B,C,0.39668547209122096,0.4159852480016302,0.019299775910409267,-0.036985422567030524,-0.016053168967476175
equal costs,0.5,demand-quantile LightGBM + pooled conformal,C,A,0.4093943072531583,0.4082392539859607,-0.0011550532671975589,0.05712004845866969,0.04350594785302368
equal costs,0.5,demand-quantile LightGBM + pooled conformal,C,B,0.4093943072531583,0.40481006010472925,-0.004584247148429033,0.04324288719080005,0.031033602571223687
equal costs,0.5,raw-sales LightGBM + residual quantile,A,B,0.3868223331271306,0.39448350742219723,0.007661174295066631,-0.01614778427617003,-0.007418921193309738
equal costs,0.5,raw-sales LightGBM + residual quantile,A,C,0.3868223331271306,0.42188238927553606,0.03506005614840546,-0.06574974058972283,-0.029404385800895952
equal costs,0.5,raw-sales LightGBM + residual quantile,B,A,0.3946389532202241,0.3892196489226036,-0.0054193042976204975,0.016590677603687487,0.009062653726651021
equal costs,0.5,raw-sales LightGBM + residual quantile,B,C,0.3946389532202241,0.42218481183815854,0.02754585861793446,-0.05296007305094341,-0.023348822073862324
equal costs,0.5,raw-sales LightGBM + residual quantile,C,A,0.44106750983084664,0.42208239747207094,-0.018985112358775702,0.060147351027836415,0.03255238655694545
equal costs,0.5,raw-sales LightGBM + residual quantile,C,B,0.44106750983084664,0.42383003168442085,-0.01723747814642579,0.045239322621999256,0.022805410869807058
equal costs,0.5,raw-sales quantile LightGBM,A,B,0.3999277066544204,0.4160336840374496,0.016105977383029213,-0.021238935394631953,-0.006244644062755864
equal costs,0.5,raw-sales quantile LightGBM,A,C,0.3999277066544204,0.4828352123479357,0.0829075056935153,-0.09778833073425963,-0.022671474110658563
equal costs,0.5,raw-sales quantile LightGBM,B,A,0.4388443288668506,0.41852656907183283,-0.020317759795017765,0.024321857960094007,0.005731082762648221
equal costs,0.5,raw-sales quantile LightGBM,B,C,0.4388443288668506,0.5108954993085737,0.0720511704417231,-0.08158756039619697,-0.01836834077453471
equal costs,0.5,raw-sales quantile LightGBM,C,A,0.59431680389215,0.4938262739730162,-0.10049052991913382,0.10163275357445689,0.01613792747604386
equal costs,0.5,raw-sales quantile LightGBM,C,B,0.59431680389215,0.5146388481861108,-0.0796779557060392,0.0798072370610885,0.012178307255930401
equal costs,0.5,seasonal_naive + residual quantile,A,B,0.4430044209330568,0.4565549261989283,0.013550505265871482,-0.033173569014006365,-0.012824989425460037
equal costs,0.5,seasonal_naive + residual quantile,A,C,0.4430044209330568,0.5310225891496494,0.08801816821659258,-0.13994974223288037,-0.03613994404301668
equal costs,0.5,seasonal_naive + residual quantile,B,A,0.45448411641237546,0.44674290240090325,-0.007741214011472208,0.030674508973224768,0.014226358526222865
equal costs,0.5,seasonal_naive + residual quantile,B,C,0.45448411641237546,0.5201468963799932,0.06566277996761777,-0.10298845982035487,-0.02483709777589113
equal costs,0.5,seasonal_naive + residual quantile,C,A,0.5058454423130344,0.4727585759264939,-0.033086866386540514,0.11631921407993595,0.04481653974294003
equal costs,0.5,seasonal_naive + residual quantile,C,B,0.5058454423130344,0.4698330068956364,-0.036012435417398014,0.0902333771008027,0.029698853304290257
shortage more costly,0.75,Kaplan-Meier order percentile,A,B,1.3877874305910796,1.3877874305910796,0.0,0.0,0.0
shortage more costly,0.75,Kaplan-Meier order percentile,A,C,1.3877874305910796,1.3877874305910796,0.0,0.0,0.0
shortage more costly,0.75,Kaplan-Meier order percentile,B,A,1.4165875860382293,1.4165875860382293,0.0,0.0,0.0
shortage more costly,0.75,Kaplan-Meier order percentile,B,C,1.4165875860382293,1.4165875860382293,0.0,0.0,0.0
shortage more costly,0.75,Kaplan-Meier order percentile,C,A,1.6152995593513715,1.6152995593513715,0.0,0.0,0.0
shortage more costly,0.75,Kaplan-Meier order percentile,C,B,1.6152995593513715,1.6152995593513715,0.0,0.0,0.0
shortage more costly,0.75,TFT (direct) + residual quantile,A,B,0.9483399869495654,0.948340092492531,1.0554296558940024e-07,-5.4556319017962096e-08,-2.516576380617863e-08
shortage more costly,0.75,TFT (direct) + residual quantile,A,C,0.9483399869495654,0.9483403169657605,3.3001619503814084e-07,-2.3555667283403636e-07,-1.7725600909290762e-07
shortage more costly,0.75,TFT (direct) + residual quantile,B,A,0.9563871929548177,0.956387186851872,-6.102945704355989e-09,2.0409242074137524e-09,-2.5055590935352257e-10
shortage more costly,0.75,TFT (direct) + residual quantile,B,C,0.9563871929548177,0.9563872054100512,1.2455233511232677e-08,-4.268384645733647e-09,3.609927912151534e-10
shortage more costly,0.75,TFT (direct) + residual quantile,C,A,0.9460613355396753,0.9460614090718596,7.35321843414738e-08,6.37569370631752e-08,1.372172493963042e-07
shortage more costly,0.75,TFT (direct) + residual quantile,C,B,0.9460613355396753,0.9460615078529039,1.7231322857469422e-07,2.2784834352584937e-08,1.289109225477425e-07
shortage more costly,0.75,TimesNet->TFT + residual quantile,A,B,0.8758757288771797,0.875875660818649,-6.805853070002144e-08,3.41799947234378e-08,1.5909183914697422e-08
shortage more costly,0.75,TimesNet->TFT + residual quantile,A,C,0.8758757288771797,0.8758759109444352,1.8206725549418934e-07,1.6656575230200588e-08,1.2900645252056364e-07
shortage more costly,0.75,TimesNet->TFT + residual quantile,B,A,0.8743865981163732,0.8743874940145538,8.958981806417299e-07,-4.738071461840576e-07,-2.502425786587992e-07
shortage more costly,0.75,TimesNet->TFT + residual quantile,B,C,0.8743865981163732,0.8743846136557154,-1.9844606578001134e-06,1.3636226835478382e-06,1.0571264767444966e-06
shortage more costly,0.75,TimesNet->TFT + residual quantile,C,A,0.8748101251771251,0.8748103038248313,1.7864770618380987e-07,-1.1687034462415369e-07,-8.505241733125501e-08
shortage more costly,0.75,TimesNet->TFT + residual quantile,C,B,0.8748101251771251,0.8748102259350963,1.007579711886919e-07,-8.042997146073816e-08,-7.105040211730085e-08
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),A,B,0.6962660750102846,0.7085661231469079,0.012300048136623332,-0.008142178905241493,-0.007933790223341952
shortage more costly,0.75,demand-quantile + adaptive calibration (sensitivity),A,C,0.6962660750102846,0.7495937262988921,0.0533276512886075,-0.029876048791033116,-0.025408557553753514
