train_mech,test_hist,tau,calibration,n,pinball,coverage,miss rate,WAPE,bias %
B,C,0.25,uncalibrated,20641,0.15126640703787458,0.21404001744101545,0.7859599825589846,,
B,C,0.25,pooled conformal,20641,0.1499755355220478,0.20478658979700595,0.7952134102029941,,
B,C,0.5,uncalibrated,20641,0.21279662178175165,0.4115595174652391,0.5884404825347609,,
B,C,0.5,pooled conformal,20641,0.2079926238676467,0.4258999079501962,0.5741000920498038,,
B,C,0.75,uncalibrated,20641,0.19715574032288502,0.6038467128530595,0.39615328714694054,,
B,C,0.75,pooled conformal,20641,0.1826408821702463,0.6781163703308948,0.32188362966910516,,
B,C,0.9,uncalibrated,20641,0.13703081260159278,0.7781115256043797,0.22188847439562037,,
B,C,0.9,pooled conformal,20641,0.11708472725984796,0.8598905091807567,0.14010949081924326,,
B,C,median,uncalibrated,20641,,,,36.616620572442095,-19.521937093944068
B,C,median,pooled conformal,20641,,,,35.78998071613837,-17.83120626145139
C,A,0.25,uncalibrated,20641,0.15289860540050773,0.32222276052516835,0.6777772394748316,,
C,A,0.25,pooled conformal,20641,0.1525491723530816,0.31839542657816966,0.6816045734218303,,
C,A,0.5,uncalibrated,20641,0.2040889693531558,0.5335497311176784,0.4664502688823216,,
C,A,0.5,pooled conformal,20641,0.2041196269229456,0.5642168499588198,0.4357831500411802,,
C,A,0.75,uncalibrated,20641,0.18128828538383285,0.7065549149750496,0.2934450850249503,,
C,A,0.75,pooled conformal,20641,0.1780067464794846,0.7804854415968219,0.21951455840317813,,
C,A,0.9,uncalibrated,20641,0.11741389634115441,0.8543675209534421,0.14563247904655782,,
C,A,0.9,pooled conformal,20641,0.11208043007901705,0.9159924422266363,0.08400755777336369,,
C,A,median,uncalibrated,20641,,,,35.11826593511326,-5.59876050958958
C,A,median,pooled conformal,20641,,,,35.123541284840464,-2.8782107098566634
C,B,0.25,uncalibrated,20641,0.15172265702578205,0.29615813187345574,0.7038418681265443,,
C,B,0.25,pooled conformal,20641,0.15085443178762034,0.2922339033961533,0.7077660966038467,,
C,B,0.5,uncalibrated,20641,0.20428756653437022,0.500847827140158,0.49915217285984204,,
C,B,0.5,pooled conformal,20641,0.20240503004022126,0.5319509713676663,0.4680490286323337,,
C,B,0.75,uncalibrated,20641,0.1840530645455028,0.6832517804369943,0.3167482195630057,,
C,B,0.75,pooled conformal,20641,0.1771567510624623,0.7581028050966523,0.2418971949033477,,
C,B,0.9,uncalibrated,20641,0.11974163132935431,0.836345138316942,0.16365486168305798,,
C,B,0.9,pooled conformal,20641,0.11103901517099786,0.9060123056053486,0.09398769439465142,,
C,B,median,uncalibrated,20641,,,,35.152439210846666,-8.651473128151808
C,B,median,pooled conformal,20641,,,,34.82850491178281,-5.948679394844846
C,C,0.25,uncalibrated,20641,0.15059895191711578,0.2342909742745022,0.7657090257254978,,
C,C,0.25,pooled conformal,20641,0.14945262311783164,0.23254687272903446,0.7674531272709656,,
C,C,0.5,uncalibrated,20641,0.20980891943466723,0.4204253669880335,0.5795746330119664,,
C,C,0.5,pooled conformal,20641,0.20469715378306277,0.4499781987306817,0.5500218012693183,,
C,C,0.75,uncalibrated,20641,0.19530944986859608,0.6289423962017344,0.3710576037982656,,
C,C,0.75,pooled conformal,20641,0.18119759110951453,0.7107698270432634,0.2892301729567366,,
C,C,0.9,uncalibrated,20641,0.13086673454509748,0.7980717988469551,0.2019282011530449,,
C,C,0.9,pooled conformal,20641,0.1137993385192613,0.8793178625066616,0.1206821374933385,,
C,C,median,uncalibrated,20641,,,,36.102516719145086,-16.87218390664963
C,C,median,pooled conformal,20641,,,,35.22291824736101,-14.202843548338079
