scenario,date,mechanism,n,mean cost,median cost,total shortage,total leftover,fill rate,leftover share,cycle service,mean order,median order
excess stock more costly,2024-07-02,B,2624,0.5964074782182807,0.3284391462802887,1255.1485526156612,103.27489007636905,0.5792751200832186,0.05639041303662318,0.24314024390243902,0.6979521269434084,0.4132850468158722
excess stock more costly,2024-07-02,C,2624,0.6131773913987606,0.32815252244472504,1314.9679069984704,98.0031893439591,0.5592237160984399,0.05548390948323878,0.2267530487804878,0.6731460845976693,0.40336909890174866
equal costs,2024-06-26,A,2968,0.3883673674055134,0.21802213042974472,811.9249832900241,340.7493631695397,0.7555311017603094,0.11956103615809562,0.44272237196765496,0.9602437433308164,0.5948103964328766
equal costs,2024-06-26,B,2968,0.39646819362225766,0.221287589520216,834.7107107059564,342.0068879649043,0.7486703673432074,0.12091563844343084,0.44305929919137466,0.9529903057901938,0.5928460955619812
equal costs,2024-06-26,C,2968,0.41040108574496587,0.2336607724428177,890.1500860396773,327.92033645138144,0.7319776884801773,0.11885696354175805,0.431266846361186,0.9295651282810147,0.5788840651512146
equal costs,2024-06-27,A,3169,0.37906115740548224,0.2143770530819893,862.7110594725236,338.53374834544957,0.7508032869208194,0.11523412596269907,0.43736194383086147,0.9270403096846161,0.5869177579879761
equal costs,2024-06-27,B,3169,0.3872636049422654,0.21381555497646332,886.5616518519819,340.6767122100573,0.7439139707810839,0.116826818380392,0.4301041337961502,0.9201903164644046,0.5780988931655884
equal costs,2024-06-27,C,3169,0.39844389432002625,0.22321317344903946,948.2492261938751,314.4194749062881,0.7260953273372103,0.1111754240482293,0.40359734932155256,0.8924387192268968,0.5583685636520386
equal costs,2024-06-28,A,3385,0.3437958804249455,0.21910439431667328,730.1229902133346,433.6260650251061,0.7951685371030509,0.13268814360698547,0.49246676514032495,0.9654384437431217,0.6090884208679199
equal costs,2024-06-28,B,3385,0.34957007244043603,0.21992894262075424,751.5144430547953,431.7802521560807,0.7891672980820372,0.13306952535940725,0.489807976366322,0.9585736680531701,0.6064561605453491
equal costs,2024-06-28,C,3385,0.3569063512644176,0.22091852873563766,809.5154389105737,398.6125601194799,0.7728954795119253,0.12639908623924384,0.458493353028065,0.9316405253966327,0.5826853513717651
equal costs,2024-06-29,A,3221,0.3798577599331519,0.2460324391722679,683.153567314148,540.3682774305344,0.8300610930508837,0.13937040004290224,0.5212666873641726,1.2037285859287432,0.7711408734321594
equal costs,2024-06-29,B,3221,0.38492971313819496,0.24864880740642548,703.5204008296132,536.3382051885128,0.8249947103351493,0.13920691799793328,0.5194039118286247,1.1961542593973906,0.7728102207183838
equal costs,2024-06-29,C,3221,0.398756463407952,0.25221749395132065,748.0214619003236,536.3731067366898,0.8139247810567812,0.1408414589272488,0.5063644830797889,1.182349180377666,0.7521296739578247
equal costs,2024-06-30,A,2507,0.4877300024534846,0.26913779228925705,864.2524187117815,358.4866974391043,0.7581387703162882,0.11686324729410469,0.46031112883925007,1.2236036415273894,0.793820321559906
